,source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
0,Twitter for iPhone,Over 90% approval rating for your all time favorite (I hope) President within the Republican Party and 52% overall. This despite all of the made up stories by the Fake News Media trying endlessly to make me look as bad and evil as possible. Look at the real villains please!,Mon Aug 27 00:39:38 +0000 2018,27040,106838,FALSE,1.03388E+18
1,Twitter for iPhone,"“Mainstream Media tries to rewrite history to credit Obama for Trump accomplishments. Since President Trump took office, the economy is booming. The stronger the economy gets, the more desperate his critics are. O had weakest recovery since Great Depression.” @WashTimes",Sun Aug 26 22:01:33 +0000 2018,21346,76682,FALSE,1.03384E+18
2,Twitter for iPhone,Fantastic numbers on consumer spending released on Friday. Stock Market hits all time high!,Sun Aug 26 14:31:06 +0000 2018,18960,87334,FALSE,1.03372E+18
3,Twitter for iPhone,"...And it will get, as I have always said, much better from even here! https://t.co/El26RzBjpG",Sun Aug 26 14:27:16 +0000 2018,14963,62956,FALSE,1.03372E+18
4,Twitter for iPhone,RT @realDonaldTrump: Social Media Giants are silencing millions of people. Can’t do this even if it means we must continue to hear Fake New…,Sun Aug 26 14:25:47 +0000 2018,50142,0,TRUE,1.03372E+18
5,Twitter for iPhone,"RT @realDonaldTrump: Big story out that the FBI ignored tens of thousands of Crooked Hillary Emails, many of which are REALLY BAD. Also gav…",Sun Aug 26 14:24:17 +0000 2018,39626,0,TRUE,1.03372E+18
6,Twitter for iPhone,"RT @realDonaldTrump: ....FISA abuse, Christopher Steele &; his phony and corrupt Dossier, the Clinton Foundation, illegal surveillance of Tr…",Sun Aug 26 13:21:44 +0000 2018,28510,0,TRUE,1.03371E+18
7,Twitter for iPhone,"RT @realDonaldTrump: “Department of Justice will not be improperly influenced by political considerations.” Jeff, this is GREAT, what every…",Sun Aug 26 13:21:41 +0000 2018,31253,0,TRUE,1.03371E+18
8,Twitter for iPhone,My deepest sympathies and respect go out to the family of Senator John McCain. Our hearts and prayers are with you!,Sun Aug 26 00:44:13 +0000 2018,37632,205449,FALSE,1.03352E+18
9,Twitter for iPhone,Stock Market hit all time high on Friday. Congratulations U.S.A.!,Sat Aug 25 23:45:48 +0000 2018,26131,127363,FALSE,1.0335E+18
10,Twitter for iPhone,"Our relationship with Mexico is getting closer by the hour. Some really good people within both the new and old government, and all working closely together....A big Trade Agreement with Mexico could be happening soon!",Sat Aug 25 13:22:28 +0000 2018,20961,93410,FALSE,1.03334E+18
11,Twitter for iPhone,“The FBI looked at less than 1%” of Crooked’s Emails!,Sat Aug 25 13:14:15 +0000 2018,27823,96258,FALSE,1.03334E+18
12,Twitter for iPhone,"“The FBI only looked at 3000 of 675,000 Crooked Hillary Clinton Emails.” They purposely didn’t look at the disasters. This news is just out. @FoxNews",Sat Aug 25 13:11:28 +0000 2018,32745,103336,FALSE,1.03334E+18
13,Twitter for iPhone,"Big story out that the FBI ignored tens of thousands of Crooked Hillary Emails, many of which are REALLY BAD. Also gave false election info. I feel sure that we will soon be getting to the bottom of all of this corruption. At some point I may have to get involved!",Sat Aug 25 13:05:42 +0000 2018,39626,140648,FALSE,1.03334E+18
14,Twitter for iPhone,".@LindseyGrahamSC  “Every President deserves an Attorney General they have confidence in. I believe every President has a right to their Cabinet, these are not lifetime appointments. You serve at the pleasure of the President.”",Sat Aug 25 12:46:18 +0000 2018,17597,71919,FALSE,1.03333E+18
15,Twitter for iPhone,Jeff Sessions said he wouldn’t allow politics to influence him only because he doesn’t understand what is happening underneath his command position. Highly conflicted Bob Mueller and his gang of 17 Angry Dems are having a field day as real corruption goes untouched. No Collusion!,Sat Aug 25 12:36:33 +0000 2018,23591,89130,FALSE,1.03333E+18
16,Twitter for iPhone,"Michaels Cohen’s attorney clarified the record, saying his client does not know if President Trump knew about the Trump Tower meeting (out of which came nothing!). The answer is that I did NOT know about the meeting. Just another phony story by the Fake News Media!",Sat Aug 25 12:16:53 +0000 2018,20908,76483,FALSE,1.03333E+18
17,Twitter for iPhone,"Happy birthday Vince, you are truly one of the greats! https://t.co/b8zV5MfojY",Sat Aug 25 03:35:21 +0000 2018,12808,63471,FALSE,1.0332E+18
18,Twitter for iPhone,"Great #StateDinner2018 in Ohio tonight! Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/ALU1PHEsvh",Sat Aug 25 02:13:13 +0000 2018,12287,49828,FALSE,1.03318E+18
19,Twitter for iPhone,"Great to see the Senate working on solutions to end the secrecy around ridiculously high drug prices, something I called for in my drug pricing Blueprint. Will now work with the House to help American patients! #AmericanPatientsFirst",Sat Aug 25 00:40:21 +0000 2018,17239,68512,FALSE,1.03315E+18
20,Twitter for iPhone,Congratulations to new Australian Prime Minister Scott Morrison. There are no greater friends than the United States and Australia!,Sat Aug 25 00:27:13 +0000 2018,14303,76127,FALSE,1.03315E+18
21,Twitter for iPhone,I spoke with Governor David Ige of Hawaii today to express our full support for the people of Hawaii as the State is impacted by #HurricaneLane. The Federal Government is fully committed to helping the people of Hawaii. https://t.co/P35yAAovIk,Sat Aug 25 00:20:53 +0000 2018,10056,49748,FALSE,1.03315E+18
22,Twitter for iPhone,Thank you. I love you Ohio! https://t.co/RQ9Gj0SETz,Fri Aug 24 23:26:02 +0000 2018,13074,58618,FALSE,1.03313E+18
23,Twitter for iPhone,"...Secretary Pompeo looks forward to going to North Korea in the near future, most likely after our Trading relationship with China is resolved. In the meantime I would like to send my warmest regards and respect to Chairman Kim. I look forward to seeing him soon!",Fri Aug 24 17:36:02 +0000 2018,12557,55698,FALSE,1.03305E+18
24,Twitter for iPhone,"...Additionally, because of our much tougher Trading stance with China, I do not believe they are helping with the process of denuclearization as they once were (despite the UN Sanctions which are in place)...",Fri Aug 24 17:36:01 +0000 2018,11261,51576,FALSE,1.03305E+18
25,Twitter for iPhone,"I have asked Secretary of State Mike Pompeo not to go to North Korea, at this time, because I feel we are not making sufficient progress with respect to the denuclearization of the Korean Peninsula...",Fri Aug 24 17:36:00 +0000 2018,17732,76643,FALSE,1.03305E+18
26,Twitter for iPhone,https://t.co/0a25gApyJ6,Fri Aug 24 16:10:25 +0000 2018,15712,60361,FALSE,1.03302E+18
27,Twitter for iPhone,"Social Media Giants are silencing millions of people. Can’t do this even if it means we must continue to hear Fake News like CNN, whose ratings have suffered gravely. People have to figure out what is real, and what is not, without censorship!",Fri Aug 24 11:34:13 +0000 2018,50142,172270,FALSE,1.03295E+18
28,Twitter for iPhone,"Ex-NSA contractor to spend 63 months in jail over “classified” information. Gee, this is “small potatoes” compared to what Hillary Clinton did! So unfair Jeff, Double Standard.",Fri Aug 24 11:10:13 +0000 2018,29619,103653,FALSE,1.03295E+18
29,Twitter for iPhone,"....FISA abuse, Christopher Steele &; his phony and corrupt Dossier, the Clinton Foundation, illegal surveillance of Trump Campaign, Russian collusion by Dems - and so much more. Open up the papers &; documents without redaction? Come on Jeff, you can do it, the country is waiting!",Fri Aug 24 10:28:37 +0000 2018,28510,98919,FALSE,1.03294E+18
30,Twitter for iPhone,"“Department of Justice will not be improperly influenced by political considerations.” Jeff, this is GREAT, what everyone wants, so look into all of the corruption on the “other side” including deleted Emails, Comey lies &; leaks, Mueller conflicts, McCabe, Strzok, Page, Ohr......",Fri Aug 24 10:17:34 +0000 2018,31253,104950,FALSE,1.03293E+18
31,Twitter for iPhone,Our Economy is setting records on virtually every front - Probably the best our country has ever done. Tremendous value created since the Election. The World is respecting us again! Companies are moving back to the U.S.A.,Fri Aug 24 10:04:45 +0000 2018,20183,82221,FALSE,1.03293E+18
32,Twitter for iPhone,"Target CEO raves about the Economy. “This is the best consumer environment I’ve seen in my career.” A big statement from a top executive. But virtually everybody is saying this, &; when our Trade Deals are made, &; cost cutting done, you haven’t seen anything yet!  @DRUDGE_REPORT",Fri Aug 24 09:57:15 +0000 2018,17061,68198,FALSE,1.03293E+18
33,Twitter for iPhone,"...And according to Polls, would do even better today! https://t.co/NAzQOIFW6o",Fri Aug 24 04:21:37 +0000 2018,16413,70015,FALSE,1.03285E+18
34,Twitter for iPhone,RT @DanScavino: “2020 odds: @realDonaldTrump favored more than every other challenger combined” via @SecretsBedard @dcexaminer https://t.co…,Fri Aug 24 04:09:55 +0000 2018,13147,0,TRUE,1.03284E+18
35,Twitter for iPhone,...Cindy has voted for our Agenda in the Senate 100% of the time and has my complete and total Endorsement. We need Cindy to win in Mississippi!,Thu Aug 23 21:10:31 +0000 2018,12776,53749,FALSE,1.03274E+18
36,Twitter for iPhone,".@cindyhydesmith has helped me put America First! She’s strong on the Wall, is helping me create Jobs, loves our Vets and fights for our conservative judges...",Thu Aug 23 21:10:30 +0000 2018,14569,63440,FALSE,1.03274E+18
37,Twitter for iPhone,I have authorized an emergency disaster declaration to provide Hawaii the necessary support ahead of #HurricaneLane. Our teams are closely coordinating with the state and local authorities. You are in our thoughts! https://t.co/lrhwbdUavj,Thu Aug 23 19:21:04 +0000 2018,14160,62399,FALSE,1.03271E+18
38,Twitter for iPhone,It was my great honor to host the Foreign Investment Risk Review Modernization Act Roundtable today at the @WhiteHouse! https://t.co/TjtI7ddtZM,Thu Aug 23 18:08:19 +0000 2018,10874,50931,FALSE,1.03269E+18
39,Twitter for iPhone,https://t.co/6ZG0P6FRs5,Thu Aug 23 16:02:32 +0000 2018,10258,43863,FALSE,1.03266E+18
40,Twitter for iPhone,https://t.co/6v90Th0zl1,Thu Aug 23 15:39:43 +0000 2018,10981,45287,FALSE,1.03265E+18
41,Twitter for iPhone,https://t.co/3PAVDdfJJr,Thu Aug 23 13:44:47 +0000 2018,14019,57693,FALSE,1.03262E+18
42,Twitter for iPhone,NO COLLUSION - RIGGED WITCH HUNT!,Thu Aug 23 05:10:08 +0000 2018,26552,117741,FALSE,1.0325E+18
43,Twitter for iPhone,I have asked Secretary of State @SecPompeo to closely study the South Africa land and farm seizures and expropriations and the large scale killing of farmers. “South African Government is now seizing land from white farmers.” @TuckerCarlson @FoxNews,Thu Aug 23 02:28:45 +0000 2018,45478,133145,FALSE,1.03245E+18
44,Twitter for iPhone,I have asked Secretary of State @MikePompeo4USA to closely study the South Africa land and farm seizures and expropriations and the large scale killing of farmers. “South African Government is now seizing land from white farmers.” @TuckerCarlson  @FoxNews,Thu Aug 23 02:18:54 +0000 2018,2761,7328,FALSE,1.03245E+18
45,Twitter for iPhone,"The only thing that I have done wrong is to win an election that was expected to be won by Crooked Hillary Clinton and the Democrats. The problem is, they forgot to campaign in numerous states!",Thu Aug 23 00:56:35 +0000 2018,37768,153330,FALSE,1.03243E+18
46,Twitter for iPhone,I will be interviewed on @foxandfriends by @ainsleyearhardt tomorrow from 6:00 A.M. to 9:00 A.M.  Enjoy!,Thu Aug 23 00:51:38 +0000 2018,10853,52262,FALSE,1.03243E+18
47,Twitter for iPhone,"RT @Scavino45: Today, President Trump welcomed the family of @usairforce Tech. Sgt. John A. Chapman, Medal of Honor recipient, to the Oval…",Thu Aug 23 00:46:53 +0000 2018,10850,0,TRUE,1.03243E+18
48,Twitter for iPhone,https://t.co/15ibBbf34U,Wed Aug 22 23:01:24 +0000 2018,13347,53965,FALSE,1.0324E+18
49,Twitter for iPhone,https://t.co/wYCNmkkaNR,Wed Aug 22 22:24:57 +0000 2018,16827,61002,FALSE,1.03239E+18
50,Twitter for iPhone,"Longest bull run in the history of the stock market, congratulations America!",Wed Aug 22 20:07:29 +0000 2018,23914,105321,FALSE,1.03236E+18
51,Twitter for iPhone,https://t.co/mJtO0AFLus,Wed Aug 22 20:05:05 +0000 2018,8769,35663,FALSE,1.03236E+18
52,Media Studio,https://t.co/OGqKufBeHn,Wed Aug 22 16:13:34 +0000 2018,15370,61634,FALSE,1.0323E+18
